Rank,Name,Country,Gender,Gold,Silver,Bronze,Total Medals,Rating,Age,Retirement
,,,,,,,,,,
1,Isabell Werth,Germany,F,6,4,0,10,44,51,No
2,Reiner Klimke,Germany,M,6,0,2,8,38,49,Yes
3,Hans Günter Winkler,Germany,M,5,1,1,7,33,50,Yes
4,Anky van Grunsven,Netherlands,F,3,5,1,9,29,47,No
5,Charles Pahud de Mortanges,Netherlands,M,4,1,0,5,26,42,Yes
6,Ludger Beerbaum,Germany,M,4,0,0,4,24,57,No
6,Henri Saint Cyr,Sweden,M,4,0,0,4,24,54,Yes
6,Nicole Uphoff,Germany,F,4,0,0,4,24,46,Yes
9,Charlotte Dujardin,Great Britain,F,3,1,0,4,20,37,No
9,Andrew Hoy,Australia,M,3,1,0,4,20,62,No
11,Richard Meade,Great Britain,M,3,0,0,3,18,43,Yes
11,Matthew Ryan,Australia,M,3,0,0,3,18,50,Yes
11,Adolph van der Voort van Zijp,Netherlands,M,3,0,0,3,18,36,Yes
